;Table 1. Human Development Index and its components;;;;;;;;;;;;;;
;;;;SDG 3;;SDG 4.3;;SDG 4.6;;SDG 8.5;;;;;
;;Human Development Index(HDI);;Life expectancy at birth;;Expected years of schooling;;Mean years of schooling;;Gross national income (GNI) percapita;;GNI per capita rank minus HDIrank;;HDI rank;
HDI rank;Country;Value;;(years);;(years);;(years);;(2011 PPP $);;;;;
;;2017;;2017;;2017;a;2017;a;2017;;2017;;2016;
;VERY HIGH HUMAN DEVELOPMENT
1;Norway;0.953;;82.3;;17.9;;12.6;;68,012;;5;;1;
2;Switzerland;0.944;;83.5;;16.2;;13.4;;57,625;;8;;2;
3;Australia;0.939;;83.1;;22.9;b;12.9;;43,560;;18;;3;
4;Ireland;0.938;;81.6;;19.6;b;12.5;c;53,754;;8;;4;
5;Germany;0.936;;81.2;;17.0;;14.1;;46,136;;13;;4;
6;Iceland;0.935;;82.9;;19.3;b;12.4;c;45,810;;13;;6;
7;Hong Kong, China (SAR);0.933;;84.1;;16.3;;12.0;;58,420;;2;;8;
7;Sweden;0.933;;82.6;;17.6;;12.4;;47,766;;9;;7;
9;Singapore;0.932;;83.2;;16.2;d;11.5;;82,503;e;-6;;8;
10;Netherlands;0.931;;82.0;;18.0;;12.2;;47,900;;5;;10;
11;Denmark;0.929;;80.9;;19.1;b;12.6;f;47,918;;3;;10;
12;Canada;0.926;;82.5;;16.4;c;13.3;;43,433;;10;;12;
13;United States;0.924;;79.5;;16.5;;13.4;;54,941;;-2;;12;
14;United Kingdom;0.922;;81.7;;17.4;;12.9;f;39,116;;13;;14;
15;Finland;0.920;;81.5;;17.6;;12.4;;41,002;;10;;15;
16;New Zealand;0.917;;82.0;;18.9;b;12.5;;33,970;;18;;16;
17;Belgium;0.916;;81.3;;19.8;b;11.8;;42,156;;6;;16;
17;Liechtenstein;0.916;;80.4;g;14.7;;12.5;h;97,336;e,i;-15;;16;
19;Japan;0.909;;83.9;;15.2;;12.8;j;38,986;;9;;19;
20;Austria;0.908;;81.8;;16.1;;12.1;;45,415;;0;;20;
21;Luxembourg;0.904;;82.0;;14.0;;12.1;f;65,016;k;-13;;26;
22;Israel;0.903;;82.7;;15.9;;13.0;;32,711;;13;;21;
22;Korea (Republic of);0.903;;82.4;;16.5;;12.1;;35,945;;8;;22;
24;France;0.901;;82.7;;16.4;;11.5;;39,254;;2;;23;
25;Slovenia;0.896;;81.1;;17.2;;12.2;;30,594;;12;;24;
26;Spain;0.891;;83.3;;17.9;;9.8;;34,258;;7;;25;
27;Czechia;0.888;;78.9;;16.9;;12.7;;30,588;;11;;27;
28;Italy;0.880;;83.2;;16.3;;10.2;f;35,299;;3;;28;
29;Malta;0.878;;81.0;;15.9;;11.3;;34,396;;3;;29;
30;Estonia;0.871;;77.7;;16.1;;12.7;;28,993;;10;;30;
31;Greece;0.870;;81.4;;17.3;;10.8;;24,648;;20;;30;
32;Cyprus;0.869;;80.7;;14.6;;12.1;;31,568;;4;;32;
33;Poland;0.865;;77.8;;16.4;;12.3;;26,150;;12;;34;
34;United Arab Emirates;0.863;;77.4;;13.6;;10.8;l;67,805;;-27;;33;
35;Andorra;0.858;;81.7;g;13.5;d;10.2;;47,574;m;-18;;35;
35;Lithuania;0.858;;74.8;;16.1;;13.0;;28,314;;7;;36;
37;Qatar;0.856;;78.3;;13.4;;9.8;;116,818;e;-36;;36;
38;Slovakia;0.855;;77.0;;15.0;;12.5;;29,467;;1;;39;
39;Brunei Darussalam;0.853;;77.4;;14.5;;9.1;j;76,427;e;-35;;40;
39;Saudi Arabia;0.853;;74.7;;16.9;;9.5;f;49,680;;-26;;38;
41;Latvia;0.847;;74.7;;15.8;;12.8;f;25,002;;8;;43;
41;Portugal;0.847;;81.4;;16.3;;9.2;;27,315;;2;;42;
43;Bahrain;0.846;;77.0;;16.0;;9.4;l;41,580;;-19;;41;
44;Chile;0.843;;79.7;;16.4;;10.3;;21,910;;13;;44;
45;Hungary;0.838;;76.1;;15.1;;11.9;;25,393;;3;;45;
46;Croatia;0.831;;77.8;;15.0;;11.3;l;22,162;;10;;46;
47;Argentina;0.825;;76.7;;17.4;;9.9;l;18,461;;19;;47;
48;Oman;0.821;;77.3;;13.9;;9.5;;36,290;;-19;;47;
49;Russian Federation;0.816;;71.2;;15.5;;12.0;f;24,233;;3;;49;
50;Montenegro;0.814;;77.3;;14.9;;11.3;f;16,779;;19;;50;
51;Bulgaria;0.813;;74.9;;14.8;;11.8;;18,740;;13;;50;
52;Romania;0.811;;75.6;;14.3;;11.0;;22,646;;2;;52;
53;Belarus;0.808;;73.1;;15.5;;12.3;;16,323;;18;;54;
54;Bahamas;0.807;;75.8;;12.8;n;11.1;f;26,681;;-10;;53;
55;Uruguay;0.804;;77.6;;15.9;;8.7;;19,930;;5;;56;
56;Kuwait;0.803;;74.8;;13.6;;7.3;;70,524;;-51;;55;
57;Malaysia;0.802;;75.5;;13.7;;10.2;f;26,107;;-11;;57;
58;Barbados;0.800;;76.1;;15.3;;10.6;o;15,843;k;14;;57;
58;Kazakhstan;0.800;;70.0;;15.1;;11.8;j;22,626;;-3;;60;
;HIGH HUMAN DEVELOPMENT;
60;Iran (Islamic Republic of);0.798;;76.2;;14.9;;9.8;;19,130;;3;;61;
60;Palau;0.798;;73.4;g;15.6;;12.3;;12,831;;28;;59;
62;Seychelles;0.797;;73.7;;14.8;;9.5;d;26,077;k;-15;;62;
63;Costa Rica;0.794;;80.0;;15.4;;8.8;;14,636;;15;;63;;
64;Turkey;0.791;;76.0;;15.2;;8.0;;24,804;;-14;;65;;
65;Mauritius;0.790;;74.9;;15.1;;9.3;j;20,189;;-6;;64;;
