0
1;Taiwan;86.89;160.01
2;South Korea;83.59;153.19
3;Japan;80.48;147.00
4;Austria;79.46;145.78
5;Denmark;79.22;146.06
6;Thailand;78.44;142.94
7;Spain;78.42;144.35
8;France;78.34;143.47
9;Belgium;78.30;142.96
10;Australia;76.82;139.91
11;Netherlands;75.63;137.84
12;Finland;75.27;136.95
13;United Kingdom;74.88;137.41
14;Czech Republic;74.47;136.81
15;Norway;74.36;135.72
16;New Zealand;73.71;133.68
17;Germany;73.58;134.05
18;Switzerland;73.23;137.77
19;Qatar;73.17;132.78
20;Sri Lanka;72.98;131.86
21;Israel;72.97;133.45
22;Portugal;71.64;130.21
23;Canada;71.27;130.87
24;Singapore;71.07;131.96
25;Ecuador;70.81;127.26
26;Turkey;69.90;125.71
27;Argentina;69.81;126.94
28;Sweden;69.41;127.31
29;Mexico;69.40;124.30
30;United States;69.23;127.29
31;Lithuania;68.79;124.40
32;Estonia;68.49;124.47
33;India;68.21;122.67
34;Malaysia;67.80;121.96
35;Colombia;67.63;121.35
36;Hong Kong;66.93;121.40
37;Italy;66.56;120.67
38;Philippines;66.45;118.60
39;Uruguay;66.15;119.37
40;United Arab Emirates;66.13;122.44
41;Iceland;65.66;119.72
42;Croatia;65.60;120.17
43;Jordan;65.44;118.34
44;Chile;65.22;118.35
45;Lebanon;64.66;119.83
46;China;64.18;114.95
47;Slovenia;63.75;117.37
48;Latvia;63.73;114.74
49;South Africa;63.27;113.94
50;Costa Rica;62.58;112.82
51;Poland;62.52;112.28
52;Indonesia;61.90;110.00
53;Pakistan;60.51;107.11
54;Slovakia;60.46;109.49
55;Saudi Arabia;60.04;107.06
56;Panama;59.86;106.04
57;Belarus;58.87;104.92
58;Russia;57.64;101.70
59;Tunisia;57.39;100.99
60;Macedonia;57.33;102.21
61;Nepal;56.27;98.34
62;Peru;56.26;99.05
63;Brazil;55.59;98.85
64;Puerto Rico;55.51;101.25
65;Greece;55.48;98.13
66;Vietnam;55.24;95.88
67;Bulgaria;55.07;97.41
68;Algeria;55.06;100.01
69;Romania;54.99;96.69
70;Kenya;54.98;96.95
71;Kuwait;54.86;97.86
72;Dominican Republic;54.07;94.46
73;Nigeria;53.49;93.48
74;Albania;53.03;92.71
75;Bosnia And Herzegovina;52.35;93.58
76;Cyprus;52.06;90.02
77;Serbia;52.01;93.82
78;Iran;51.86;90.52
79;Georgia;51.73;89.18
80;Ireland;51.44;93.38
81;Ukraine;51.13;89.19
82;Kazakhstan;50.20;88.41
83;Hungary;47.62;86.24
84;Egypt;44.76;76.58
85;Bangladesh;42.55;72.83
86;Azerbaijan;41.57;72.02
87;Iraq;41.32;70.17
88;Venezuela;40.17;69.79
89;Morocco;39.35;65.92
