,Country,Salary,Currency,Salary[USD]
209,Switzerland,11141.0,CHF,11238.0
228,United States,7772.0,USD,9489.0
57,Denmark,51990.0,DKK,7640.0
106,Japan,802090.0,JPY,7502.0
124,Luxembourg,6663.0,EUR,7313.0
195,Singapore,9981.0,SGD,7226.0
161,Norway,65245.0,NOK,7137.0
96,Hong Kong,54001.0,HKD,6883.0
227,United Kingdom,5423.0,GBP,6621.0
154,New Zealand,10367.0,NZD,6545.0
98,Iceland,811567.0,ISK,6526.0
73,France,5942.0,EUR,6522.0
122,Liechtenstein,6273.0,CHF,6328.0
72,Finland,5540.0,EUR,6081.0
44,Christmas Island,8981.0,AUD,6051.0
12,Australia,8940.0,AUD,6024.0
80,Germany,5451.0,EUR,5983.0
151,Netherlands,5297.0,EUR,5814.0
208,Sweden,55645.0,SEK,5620.0
86,Guadeloupe,4947.0,EUR,5430.0
162,Oman,2090.0,OMR,5428.0
37,Canada,7134.0,CAD,5361.0
20,Belgium,4883.0,EUR,5359.0
190,Saudi Arabia,19732.0,SAR,5260.0
176,Reunion,4767.0,EUR,5232.0
175,Qatar,18521.0,QAR,5087.0
70,Faroe Islands,34229.0,DKK,5030.0
143,Montenegro,4486.0,EUR,4924.0
82,Gibraltar,3996.0,GIP,4916.0
141,Monaco,4477.0,EUR,4914.0
13,Austria,4475.0,EUR,4912.0
89,Guernsey,4023.0,GBP,4912.0
114,Kuwait,1493.0,KWD,4909.0
84,Greenland,33364.0,DKK,4903.0
226,United Arab Emirates,17889.0,AED,4870.0
45,Cocos (Keeling) Islands,7192.0,AUD,4846.0
43,China,34606.0,CNY,4843.0
107,Jersey,3953.0,GBP,4826.0
104,Italy,4310.0,EUR,4730.0
103,Ireland,4305.0,EUR,4725.0
1,Aland Islands,4296.0,EUR,4715.0
188,San Marino,4287.0,EUR,4705.0
159,Norfolk Island,6902.0,AUD,4650.0
16,Bahrain,1746.0,BHD,4631.0
39,Cayman Islands,3830.0,KYD,4597.0
201,South Georgia and the South Sandwich Islands,3683.0,GBP,4496.0
216,Tokelau,7107.0,NZD,4487.0
55,Cyprus,4021.0,EUR,4413.0
185,Saint Pierre and Miquelon,4008.0,EUR,4399.0
113,Korea (South),5096341.0,KRW,4253.0
184,Saint Martin,3870.0,EUR,4248.0
171,Pitcairn,6721.0,NZD,4243.0
196,Slovakia,3780.0,EUR,4149.0
223,Tuvalu,6154.0,AUD,4146.0
111,Kiribati,6078.0,AUD,4095.0
50,Cook Islands,6454.0,NZD,4075.0
74,French Guiana,3701.0,EUR,4062.0
202,Spain,3686.0,EUR,4046.0
134,Martinique,3556.0,EUR,3903.0
38,Cape Verde,382574.0,CVE,3804.0
180,Saint Barthelemy,3456.0,EUR,3793.0
214,Thailand,114476.0,THB,3764.0
15,Bahamas,3737.0,BSD,3738.0
197,Slovenia,3378.0,EUR,3707.0
158,Niue,5855.0,NZD,3696.0
83,Greece,3333.0,EUR,3658.0
76,French Southern Territories,3311.0,EUR,3634.0
173,Portugal,3301.0,EUR,3623.0
140,Moldova,63891.0,MDL,3621.0
233,Vatican City State,3299.0,EUR,3621.0
211,Taiwan,110398.0,TWD,3582.0
132,Malta,3169.0,EUR,3478.0
5,Andorra,3082.0,EUR,3383.0
206,Svalbard and Jan Mayen Islands,30850.0,NOK,3375.0
137,Mayotte,3057.0,EUR,3355.0
51,Costa Rica,1938013.0,CRC,3329.0
29,Brazil,13268.0,BRL,3247.0
166,Panama,3147.0,PAB,3148.0
108,Jordan,2226.0,JOD,3139.0
71,Fiji,6853.0,FJD,3117.0
121,Libya,4387.0,LYD,3100.0
229,United States Minor Outlying Islands,2527.0,USD,3085.0
149,Nauru,4513.0,AUD,3041.0
152,Netherlands Antilles,5173.0,ANG,2948.0
56,Czech Republic,68818.0,CZK,2927.0
133,Marshall Islands,2664.0,USD,2924.0
191,Senegal,1746661.0,XOF,2918.0
145,Morocco,28254.0,MAD,2913.0
94,Heard Island and McDonald Islands,4312.0,AUD,2905.0
178,Russia,185755.0,RUB,2847.0
118,Lebanon,4248155.0,LBP,2812.0
11,Aruba,4962.0,AWG,2763.0
31,Brunei,3799.0,BND,2750.0
138,Mexico,53560.0,MXN,2736.0
79,Georgia,7969.0,GEL,2687.0
172,Poland,10553.0,PLN,2675.0
42,Chile,1920605.0,CLP,2660.0
102,Iraq,3072066.0,IQD,2580.0
221,Turkmenistan,8773.0,TMT,2506.0
117,Latvia,1498.0,LVL,2476.0
198,Solomon Islands,20289.0,SBD,2471.0
97,Hungary,743227.0,HUF,2440.0
200,South Africa,36787.0,ZAR,2410.0
53,Croatia,15535.0,HRK,2297.0
69,Falkland Islands (Malvinas),1841.0,FKP,2264.0
192,Serbia,242078.0,RSD,2261.0
19,Belarus,43776134.0,BYR,2233.0
10,Armenia,1053271.0,AMD,2210.0
129,Malaysia,9225.0,MYR,2199.0
219,Tunisia,6254.0,TND,2193.0
21,Belize,4387.0,BZD,2177.0
174,Puerto Rico,1982.0,USD,2175.0
3,Algeria,258324.0,DZD,2147.0
123,Lithuania,6154.0,LTL,2084.0
87,Guam,1874.0,USD,2057.0
14,Azerbaijan,3484.0,AZN,2043.0
47,Comoros,900796.0,KMF,2009.0
167,Papua New Guinea,6563.0,PGK,1941.0
212,Tajikistan,18626.0,TJS,1921.0
23,Bermuda,1884.0,BMD,1884.0
46,Colombia,6427806.0,COP,1862.0
18,Barbados,3748.0,BBD,1857.0
32,Bulgaria,3296.0,BGN,1849.0
177,Romania,7953.0,RON,1838.0
220,Turkey,10642.0,TRY,1830.0
58,Djibouti,325259.0,DJF,1830.0
234,Venezuela,17781.0,VEF,1780.0
169,Peru,5918.0,PEN,1748.0
110,Kenya,173480.0,KES,1672.0
146,Mozambique,102845.0,MZN,1657.0
168,Paraguay,10511430.0,PYG,1644.0
25,Bolivia,11326.0,BOB,1638.0
130,Maldives,25299.0,MVR,1637.0
217,Tonga,3745.0,TOP,1608.0
109,Kazakhstan,618926.0,KZT,1587.0
160,Northern Mariana Islands,2347.0,USD,1581.0
75,French Polynesia,171984.0,XPF,1576.0
193,Seychelles,21539.0,SCR,1572.0
65,Equatorial Guinea,917042.0,XAF,1536.0
157,Nigeria,545893.0,NGN,1509.0
187,Samoa,4015.0,WST,1492.0
26,Bosnia and Herzegovina,2646.0,BAM,1487.0
186,Saint Vincent and the Grenadines,4011.0,XCD,1484.0
182,Saint Kitts and Nevis,3996.0,XCD,1478.0
218,Trinidad and Tobago,9996.0,TTD,1476.0
49,Congo Democratic Republic,2449916.0,CDF,1471.0
101,Iran,61376848.0,IRR,1457.0
115,Kyrgyzstan,99647.0,KGS,1426.0
135,Mauritania,508551.0,MRO,1424.0
66,Eritrea,20982.0,ERN,1398.0
136,Mauritius,50907.0,MUR,1396.0
8,Antigua and Barbuda,3710.0,XCD,1372.0
148,Namibia,20610.0,NAD,1350.0
77,Gabon,795320.0,XAF,1332.0
67,Estonia,19690.0,EEK,1312.0
